"","x"
"1","자다"
"2","하다"
"3","이르다"
"4","꾸미다"
"5","보태다"
"6","이기다"
"7","담그다"
"8","나아가다"
"9","되돌다"
"10","지나가다"
"11","스러지다"
"12","돌이키다"
"13","길다"
"14","나가다"
"15","버리다"
"16","어지럽히다"
"17","알다"
"18","흐르다"
"19","느끼다"
"20","깨어나다"
"21","벗어나다"
"22","미치다"
"23","빠지다"
"24","돌아가다"
"25","생각하다"
"26","속다"
"27","헤매다"
"28","때가다"
"29","오다"
"30","말하다"
"31","이지러지다"
"32","줄다"
"33","늘어나다"
"34","바뀌다"
"35","달라지다"
"36","보다"
"37","나오다"
"38","잘하다"
"39","치우치다"
"40","내세우다"
"41","떼다"
"42","짓다"
"43","값하다"
"44","물다"
"45","갈음하다"
"46","뒤덮이다"
"47","모르다"
"48","견주다"
"49","앉다"
"50","서다"
"51","보내다"
"52","지나다"
"53","비다"
"54","자르다"
"55","나뉘다"
"56","다투다"
"57","겨루다"
"58","꾀다"
"59","돌아보다"
"60","살아가다"
"61","믿다"
"62","두다"
"63","펴다"
"64","기뻐하다"
"65","슬퍼하다"
"66","성내다"
"67","나서다"
"68","시달리다"
"69","죽다"
"70","지니다"
"71","위하다"
"72","미루다"
"73","살피다"
"74","그르다"
"75","일어나다"
"76","쓰다"
"77","앞서다"
"78","옮기다"
"79","본뜨다"
"80","굽이치다"
"81","부딪치다"
"82","부서지다"
"83","씻기다"
"84","가다"
"85","나다"
"86","찾다"
"87","뜨다"
"88","세다"
"89","새다"
"90","만나다"
"91","웃다"
"92","나누다"
"93","붙이다"
"94","비키다"
"95","원하다"
"96","얻다"
"97","의지하다"
"98","되다"
"99","밝다"
"100","치다"
"101","헤다"
"102","근심하다"
"103","참되다"
"104","쌓다"
"105","비례하다"
"106","열다"
"107","허기지다"
"108","찾아가다"
"109","헐벗다"
"110","굶주리다"
"111","만들다"
"112","사다"
"113","요란하다"
"114","썩다"
"115","더럽히다"
"116","속이다"
"117","흘리다"
"118","끝나다"
"119","벼슬하다"
"120","불리다"
"121","기울어지다"
"122","떠나다"
"123","돌아오다"
"124","바라지다"
"125","유명하다"
"126","물러나다"
"127","은거하다"
"128","가르치다"
"129","받다"
"130","아끼다"
"131","부르다"
"132","이어지다"
"133","퍼지다"
"134","번지다"
"135","남다"
"136","물려받다"
"137","까지다"
"138","말다"
"139","듣다"
"140","배우다"
"141","통하다"
"142","들다"
"143","정밀하다"
"144","얽매이다"
"145","즐기다"
"146","숭상하다"
"147","때다"
"148","응하다"
"149","겸하다"
"150","인정되다"
"151","평정하다"
"152","얽다"
"153","정진하다"
"154","찾아오다"
"155","그러다"
"156","일으키다"
"157","닫다"
"158","삼다"
"159","잇다"
"160","빼앗다"
"161","희롱하다"
"162","깨닫다"
"163","흩어지다"
"164","반문하다"
"165","벗다"
"166","못하다"
"167","보이다"
"168","압도하다"
"169","추다"
"170","낮추다"
"171","울리다"
"172","들리다"
"173","한미하다"
"174","태어나다"
"175","주다"
"176","식다"
"177","알아보다"
"178","넘다"
"179","전념하다"
"180","따르다"
"181","따지다"
"182","늘다"
"183","우하다"
"184","싸고돌다"
"185","갖다"
"186","저지르다"
"187","단순하다"
"188","더불다"
"189","무너지다"
"190","시작되다"
"191","참여하다"
"192","당하다"
"193","자라나다"
"194","흔들리다"
"195","적다"
"196","잡다"
"197","죽이다"
"198","봉하다"
"199","자살하다"
"200","무르다"
"201","걸치다"
"202","내몰다"
"203","둘러쌓이다"
"204","대다"
"205","득실거리다"
"206","기대다"
"207","끼치다"
"208","권하다"
"209","팔다"
"210","뽑다"
"211","갚다"
"212","가혹하다"
"213","짐작하다"
"214","내리다"
"215","타이르다"
"216","드러나다"
"217","다스리다"
"218","의하다"
"219","합치다"
"220","짓무르다"
"221","겪다"
"222","풀다"
"223","잡아들이다"
"224","떼보다"
"225","막히다"
"226","헤아리다"
"227","입다"
"228","다물다"
"229","잠기다"
"230","주고받다"
"231","하명하다"
"232","줄이다"
"233","숨다"
"234","이상하다"
"235","겸손하다"
"236","들여다보다"
"237","꼬다"
"238","늘어지다"
"239","돌다"
"240","서리다"
"241","거치다"
"242","우러나다"
"243","일어서다"
"244","닿다"
"245","더하다"
"246","전하다"
"247","자리잡다"
"248","뽑히다"
"249","지내다"
"250","자라다"
"251","짜다"
"252","돕다"
"253","때우다"
"254","터놓다"
"255","사귀다"
"256","읽다"
"257","바라보다"
"258","뜯어보다"
"259","끼어들다"
"260","힘쓰다"
"261","매달리다"
"262","이해하다"
"263","맞추다"
"264","들려다"
"265","몰리다"
"266","대하다"
"267","샘솟다"
"268","닦다"
"269","다듬다"
"270","담다"
"271","만하다"
"272","이루어지다"
"273","굳히다"
"274","떠오르다"
"275","거두어들이다"
"276","가지다"
"277","행세하다"
"278","불어나다"
"279","만족하다"
"280","생기다"
"281","얕보다"
"282","넘보다"
"283","대답하다"
"284","관하다"
"285","시작하다"
"286","무심하다"
"287","기울이다"
"288","기다리다"
"289","홀리다"
"290","알아차리다"
"291","누르다"
"292","이것다"
"293","떨어지다"
"294","놀라다"
"295","빗대다"
"296","뒤집히다"
"297","엿보다"
"298","가리키다"
"299","틀리다"
"300","번갈다"
"301","형언하다"
"302","서두르다"
"303","혼탁하다"
"304","참혹하다"
"305","막다"
"306","뿌리다"
"307","화나다"
"308","완벽하다"
"309","제치다"
"310","벌다"
"311","꾸짖다"
"312","읊조리다"
"313","필요하다"
"314","실천하다"
"315","끄다"
"316","기르다"
"317","요사하다"
"318","시키다"
"319","깨우치다"
"320","불측하다"
"321","흩다"
"322","보살피다"
"323","맺다"
"324","겁먹다"
"325","더듬거리다"
"326","중요하다"
"327","솟다"
"328","털어놓다"
"329","어쩌다"
"330","돌려보내다"
"331","채우다"
"332","들어서다"
"333","손꼽다"
"334","구하다"
"335","떠보다"
"336","정하다"
"337","치르다"
"338","준비하다"
"339","마련하다"
"340","밝히다"
"341","돌리다"
"342","획하다"
"343","잊다"
"344","동문수학하다"
"345","머물다"
"346","멀다"
"347","추천하다"
"348","새기다"
"349","들어주다"
"350","우러러보다"
"351","소개하다"
"352","기리다"
"353","세우다"
"354","천거하다"
"355","청하다"
"356","허락하다"
"357","맞다"
"358","조르다"
"359","내려오다"
"360","쏘다"
"361","훑어보다"
"362","아뢰다"
"363","모이다"
"364","다니다"
"365","가보다"
"366","존경하다"
"367","표하다"
"368","축하하다"
"369","빚다"
"370","데리다"
"371","복작거리다"
"372","얽히다"
"373","변하다"
"374","울다"
"375","올리다"
"376","힘주다"
"377","파하다"
"378","당부하다"
"379","말리다"
"380","모으다"
"381","도와주다"
"382","유력하다"
"383","밀다"
"384","전송하다"
"385","찾아보다"
"386","해어지다"
"387","뵙다"
"388","빠져들다"
"389","앞당기다"
"390","비하다"
"391","좁히다"
"392","잃다"
"393","모시다"
"394","움직이다"
"395","해지다"
"396","헤어지다"
"397","들이다"
"398","가로막히다"
"399","날래다"
"400","달리다"
"401","달려오다"
"402","끝내다"
"403","넘나다"
"404","새겨듣다"
"405","불행하다"
"406","헤치다"
"407","향하다"
"408","배웅하다"
"409","뺏기다"
"410","가로막다"
"411","둘러보다"
"412","신다"
"413","걷다"
"414","건너다"
"415","차다"
"416","젖다"
"417","불다"
"418","피우다"
"419","떨리다"
"420","녹이다"
"421","귀담다"
"422","짚다"
"423","다리다"
"424","배다"
"425","늙다"
"426","업다"
"427","건네다"
"428","부수다"
"429","없애다"
"430","거슬리다"
"431","건너오다"
"432","들어가다"
"433","건너가다"
"434","부리다"
"435","들쳐업다"
"436","후들거리다"
"437","내려놓다"
"438","내쉬다"
"439","나무라다"
"440","쳐다보다"
"441","유건하다"
"442","소리치다"
"443","다녀오다"
"444","괴롭히다"
"445","지체하다"
"446","저물다"
"447","달래다"
"448","다그치다"
"449","나르다"
"450","넘겨짚다"
"451","얻어걸리다"
"452","던지다"
"453","줍다"
"454","내다"
"455","되풀이되다"
"456","참다"
"457","쏘아보다"
"458","잃어버리다"
"459","뿜다"
"460","개다"
"461","빚지다"
"462","모자라다"
"463","돌보다"
"464","일하다"
"465","묻다"
"466","쓸다"
"467","안되다"
"468","뚫어지다"
"469","일다"
"470","가다듬다"
"471","살다"
"472","줄잡다"
"473","거스르다"
"474","끼다"
"475","드나들다"
"476","늦다"
"477","섞이다"
"478","고르다"
"479","먹이다"
"480","치장하다"
"481","옮다"
"482","알아내다"
"483","탄식하다"
"484","바꾸다"
"485","품다"
"486","바로잡다"
"487","편안하다"
"488","이루다"
"489","부족하다"
"490","높이다"
"491","오르다"
"492","쓰다듬다"
"493","평안하다"
"494","받들다"
"495","토벌하다"
"496","평온하다"
"497","누리다"
"498","키우다"
"499","여기다"
"500","영락하다"
"501","털다"
"502","빌리다"
"503","다하다"
"504","캐다"
"505","꺾다"
"506","마치다"
"507","떠나가다"
"508","뒤따르다"
"509","뒤돌아보다"
"510","덧붙이다"
"511","따라가다"
"512","돌아서다"
"513","말라죽다"
"514","지다"
"515","붙다"
"516","뻗다"
"517","돋다"
"518","올려다보다"
"519","응시하다"
"520","되새기다"
"521","얼어붙다"
"522","끄덕이다"
"523","더듬다"
"524","꺼내다"
"525","찢다"
"526","뛰다"
"527","달려가다"
"528","멈추다"
"529","날다"
"530","으스대다"
"531","보아주다"
"532","넣다"
"533","그만두다"
"534","먹다"
"535","썩이다"
"536","싸이다"
"537","알리다"
"538","조이다"
"539","오래되다"
"540","마르다"
"541","가까워다"
"542","눕다"
"543","엎드리다"
"544","긷다"
"545","떨치다"
"546","벌이다"
"547","노래다"
"548","띄다"
"549","여위다"
"550","찢어지다"
"551","번득이다"
"552","비정하다"
"553","성나다"
"554","짓지다"
"555","천진하다"
"556","흘러내리다"
"557","덮이다"
"558","천거되다"
"559","들이켜다"
"560","벌어지다"
"561","넘어가다"
"562","상하다"
"563","노하다"
"564","때려죽이다"
"565","관련되다"
"566","복직되다"
"567","내치다"
"568","내리치다"
"569","욕하다"
"570","어울리다"
"571","충실하다"
"572","올라오다"
"573","따라오다"
"574","기식하다"
"575","그라다"
"576","몰두하다"
"577","배반하다"
"578","무안하다"
"579","살펴보다"
"580","즉위하다"
"581","섬기다"
"582","그릇되다"
"583","바치다"
